,Race,Age,Gender,Location,Year,Count,Population
530,Asian,15–19,M,C4,2012,1.0,18.0
531,Asian,15–19,M,C4,2013,4.0,17.0
532,Asian,15–19,M,C4,2014,2.0,19.0
533,Asian,15–19,M,C4,2015,2.0,18.0
534,Asian,15–19,M,C6,2010,4.0,42.0
535,Asian,15–19,M,C6,2011,10.0,43.0
536,Asian,15–19,M,C6,2012,0.0,44.0
537,Asian,15–19,M,C6,2013,3.0,44.0
538,Asian,15–19,M,C6,2014,1.0,46.0
539,Asian,15–19,M,C6,2015,3.0,45.0
540,Asian,15–19,M,A2,2010,0.0,1.0
541,Asian,15–19,M,A2,2011,1.0,3.0
542,Asian,15–19,M,A2,2012,0.0,2.0
543,Asian,15–19,M,A2,2013,0.0,4.0
